"Date","View_count"
"2016-06-22",4
"2016-06-23",17
"2016-06-24",15
"2016-06-25",37
"2016-06-26",5
"2016-06-27",10
"2016-06-28",4
"2016-06-29",6
"2016-06-30",9
"2016-07-01",7
"2016-07-02",9
"2016-07-03",9
"2016-07-04",2
"2016-07-05",5
"2016-07-06",3
"2016-07-07",17
"2016-07-08",9
"2016-07-09",9
"2016-07-10",9
"2016-07-11",5
"2016-07-12",7
"2016-07-13",2
"2016-07-14",6
"2016-07-15",1
"2016-07-16",4
"2016-07-17",7
"2016-07-18",4
"2016-07-19",7
"2016-07-20",4
"2016-07-21",7
"2016-07-23",6
"2016-07-24",6
"2016-07-26",5
"2016-07-27",12
"2016-07-28",2
"2016-07-29",5
"2016-07-30",4
"2016-07-31",5
"2016-08-01",6
"2016-08-02",2
"2016-08-03",6
"2016-08-04",5
"2016-08-05",5
"2016-08-06",4
"2016-08-07",5
"2016-08-08",9
"2016-08-09",4
"2016-08-10",9
"2016-08-11",4
"2016-08-12",4
"2016-08-13",8
"2016-08-14",11
"2016-08-15",4
"2016-08-16",5
"2016-08-17",6
"2016-08-18",8
"2016-08-19",5
"2016-08-20",5
"2016-08-21",4
"2016-08-22",7
"2016-08-23",4
"2016-08-24",1
"2016-08-25",6
"2016-08-26",4
"2016-08-27",7
"2016-08-28",7
"2016-08-29",5
"2016-08-31",3
"2016-09-01",5
"2016-09-02",4
"2016-09-03",5
"2016-09-05",4
"2016-09-06",3
"2016-09-07",4
"2016-09-08",3
"2016-09-09",3
"2016-09-10",2
"2016-09-11",3
"2016-09-12",1
"2016-09-13",1
"2016-09-14",3
"2016-09-15",3
"2016-09-16",9
"2016-09-17",2
"2016-09-18",1
"2016-09-19",5
"2016-09-20",1
"2016-09-22",2
"2016-09-23",3
"2016-09-24",8
"2016-09-25",6
"2016-09-26",5
"2016-09-27",8
"2016-09-28",4
"2016-09-29",6
"2016-09-30",8
"2016-10-01",4
"2016-10-02",4
"2016-10-03",3
"2016-10-04",5
"2016-10-05",12
"2016-10-06",9
"2016-10-07",10
"2016-10-08",1
"2016-10-09",2
"2016-10-10",2
"2016-10-11",5
"2016-10-12",4
"2016-10-13",5
"2016-10-14",1
"2016-10-15",6
"2016-10-16",3
"2016-10-17",3
"2016-10-18",5
"2016-10-19",3
"2016-10-20",6
"2016-10-21",5
"2016-10-22",3
"2016-10-23",2
"2016-10-24",3
"2016-10-25",2
"2016-10-26",1
"2016-10-27",1
"2016-10-28",5
"2016-10-29",2
"2016-10-30",3
"2016-10-31",2
